analyticsadmin.accountSummaries.list	GET v1beta/accountSummaries
analyticsadmin.accounts.delete	DELETE v1beta/accounts/{accountsId}
analyticsadmin.accounts.get	GET v1beta/accounts/{accountsId}
analyticsadmin.accounts.getDataSharingSettings	GET v1beta/accounts/{accountsId}/dataSharingSettings
analyticsadmin.accounts.list	GET v1beta/accounts
analyticsadmin.accounts.patch	PATCH v1beta/accounts/{accountsId}
analyticsadmin.accounts.provisionAccountTicket	POST v1beta/accounts:provisionAccountTicket
analyticsadmin.accounts.runAccessReport	POST v1beta/accounts/{accountsId}:runAccessReport
analyticsadmin.accounts.searchChangeHistoryEvents	POST v1beta/accounts/{accountsId}:searchChangeHistoryEvents
analyticsadmin.properties.acknowledgeUserDataCollection	POST v1beta/properties/{propertiesId}:acknowledgeUserDataCollection
analyticsadmin.properties.conversionEvents.create	POST v1beta/properties/{propertiesId}/conversionEvents
analyticsadmin.properties.conversionEvents.delete	DELETE v1beta/properties/{propertiesId}/conversionEvents/{conversionEventsId}
analyticsadmin.properties.conversionEvents.get	GET v1beta/properties/{propertiesId}/conversionEvents/{conversionEventsId}
analyticsadmin.properties.conversionEvents.list	GET v1beta/properties/{propertiesId}/conversionEvents
analyticsadmin.properties.conversionEvents.patch	PATCH v1beta/properties/{propertiesId}/conversionEvents/{conversionEventsId}
analyticsadmin.properties.create	POST v1beta/properties
analyticsadmin.properties.customDimensions.archive	POST v1beta/properties/{propertiesId}/customDimensions/{customDimensionsId}:archive
analyticsadmin.properties.customDimensions.create	POST v1beta/properties/{propertiesId}/customDimensions
analyticsadmin.properties.customDimensions.get	GET v1beta/properties/{propertiesId}/customDimensions/{customDimensionsId}
analyticsadmin.properties.customDimensions.list	GET v1beta/properties/{propertiesId}/customDimensions
analyticsadmin.properties.customDimensions.patch	PATCH v1beta/properties/{propertiesId}/customDimensions/{customDimensionsId}
analyticsadmin.properties.customMetrics.archive	POST v1beta/properties/{propertiesId}/customMetrics/{customMetricsId}:archive
analyticsadmin.properties.customMetrics.create	POST v1beta/properties/{propertiesId}/customMetrics
analyticsadmin.properties.customMetrics.get	GET v1beta/properties/{propertiesId}/customMetrics/{customMetricsId}
analyticsadmin.properties.customMetrics.list	GET v1beta/properties/{propertiesId}/customMetrics
analyticsadmin.properties.customMetrics.patch	PATCH v1beta/properties/{propertiesId}/customMetrics/{customMetricsId}
analyticsadmin.properties.dataStreams.create	POST v1beta/properties/{propertiesId}/dataStreams
analyticsadmin.properties.dataStreams.delete	DELETE v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}
analyticsadmin.properties.dataStreams.get	GET v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}
analyticsadmin.properties.dataStreams.list	GET v1beta/properties/{propertiesId}/dataStreams
analyticsadmin.properties.dataStreams.measurementProtocolSecrets.create	POST v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}/measurementProtocolSecrets
analyticsadmin.properties.dataStreams.measurementProtocolSecrets.delete	DELETE v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}/measurementProtocolSecrets/{measurementProtocolSecretsId}
analyticsadmin.properties.dataStreams.measurementProtocolSecrets.get	GET v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}/measurementProtocolSecrets/{measurementProtocolSecretsId}
analyticsadmin.properties.dataStreams.measurementProtocolSecrets.list	GET v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}/measurementProtocolSecrets
analyticsadmin.properties.dataStreams.measurementProtocolSecrets.patch	PATCH v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}/measurementProtocolSecrets/{measurementProtocolSecretsId}
analyticsadmin.properties.dataStreams.patch	PATCH v1beta/properties/{propertiesId}/dataStreams/{dataStreamsId}
analyticsadmin.properties.delete	DELETE v1beta/properties/{propertiesId}
analyticsadmin.properties.firebaseLinks.create	POST v1beta/properties/{propertiesId}/firebaseLinks
analyticsadmin.properties.firebaseLinks.delete	DELETE v1beta/properties/{propertiesId}/firebaseLinks/{firebaseLinksId}
analyticsadmin.properties.firebaseLinks.list	GET v1beta/properties/{propertiesId}/firebaseLinks
analyticsadmin.properties.get	GET v1beta/properties/{propertiesId}
analyticsadmin.properties.getDataRetentionSettings	GET v1beta/properties/{propertiesId}/dataRetentionSettings
analyticsadmin.properties.googleAdsLinks.create	POST v1beta/properties/{propertiesId}/googleAdsLinks
analyticsadmin.properties.googleAdsLinks.delete	DELETE v1beta/properties/{propertiesId}/googleAdsLinks/{googleAdsLinksId}
analyticsadmin.properties.googleAdsLinks.list	GET v1beta/properties/{propertiesId}/googleAdsLinks
analyticsadmin.properties.googleAdsLinks.patch	PATCH v1beta/properties/{propertiesId}/googleAdsLinks/{googleAdsLinksId}
analyticsadmin.properties.keyEvents.create	POST v1beta/properties/{propertiesId}/keyEvents
analyticsadmin.properties.keyEvents.delete	DELETE v1beta/properties/{propertiesId}/keyEvents/{keyEventsId}
analyticsadmin.properties.keyEvents.get	GET v1beta/properties/{propertiesId}/keyEvents/{keyEventsId}
analyticsadmin.properties.keyEvents.list	GET v1beta/properties/{propertiesId}/keyEvents
analyticsadmin.properties.keyEvents.patch	PATCH v1beta/properties/{propertiesId}/keyEvents/{keyEventsId}
analyticsadmin.properties.list	GET v1beta/properties
analyticsadmin.properties.patch	PATCH v1beta/properties/{propertiesId}
analyticsadmin.properties.runAccessReport	POST v1beta/properties/{propertiesId}:runAccessReport
analyticsadmin.properties.updateDataRetentionSettings	PATCH v1beta/properties/{propertiesId}/dataRetentionSettings
